,Tarih,Saat,Toplam (MWh),ISPARTA WindSpeed(m/s)
442,19.02.2018,10:00,9.58,(5.049953223860093+0j)
443,19.02.2018,11:00,11.59,(5.380962899521679+0j)
444,19.02.2018,12:00,15.19,(5.888682109887288+0j)
445,19.02.2018,13:00,13.29,(5.632145243835697+0j)
446,19.02.2018,14:00,17.85,(6.214100305659665+0j)
447,19.02.2018,15:00,17.53,(6.176742421868664+0j)
448,19.02.2018,16:00,20.78,(6.537033342541106+0j)
449,19.02.2018,17:00,27.02,(7.134999832779646+0j)
450,19.02.2018,18:00,22.13,(6.675636138115918+0j)
451,19.02.2018,19:00,17.72,(6.198977950117786+0j)
452,19.02.2018,20:00,19.61,(6.411968551163788+0j)
453,19.02.2018,21:00,15.66,(5.948800961469225+0j)
454,19.02.2018,22:00,17.37,(6.157892814149637+0j)
455,19.02.2018,23:00,16.99,(6.112656321495455+0j)
456,20.02.2018,00:00,15.45,(5.922090141915565+0j)
457,20.02.2018,01:00,21.01,(6.561062928412427+0j)
458,20.02.2018,02:00,20.05,(6.45957053261809+0j)
459,20.02.2018,03:00,13.65,(5.682547432672777+0j)
