,Tarih,Saat,Toplam (MWh),KIRLARELI WindSpeed(m/s)
407,17.02.2018,23:00,20.45,(7.571164405454705+0j)
408,18.02.2018,00:00,14.75,(6.789882302510109+0j)
409,18.02.2018,01:00,9.6,(5.884216593820486+0j)
410,18.02.2018,02:00,7.36,(5.385477025422578+0j)
411,18.02.2018,03:00,7.3,(5.370802628369734+0j)
412,18.02.2018,04:00,4.29,(4.498668620366134+0j)
413,18.02.2018,05:00,3.37,(4.1508930118310605+0j)
414,18.02.2018,06:00,3.04,(4.010723911907178+0j)
415,18.02.2018,07:00,2.08,(3.5341584582873007+0j)
416,18.02.2018,08:00,0.94,(2.7121113983082283+0j)
417,18.02.2018,09:00,0.33,(1.9132404433359815+0j)
418,18.02.2018,10:00,0.0,0j
419,18.02.2018,11:00,0.0,0j
420,18.02.2018,12:00,0.0,0j
421,18.02.2018,13:00,0.0,0j
422,18.02.2018,14:00,0.0,0j
423,18.02.2018,15:00,0.0,0j
424,18.02.2018,16:00,0.0,0j
425,18.02.2018,17:00,0.73,(2.492905750737912+0j)
426,18.02.2018,18:00,3.31,(4.126110970373117+0j)
427,18.02.2018,19:00,7.66,(5.457676998810013+0j)
428,18.02.2018,20:00,9.12,(5.784464838569775+0j)
429,18.02.2018,21:00,11.17,(6.188935602651756+0j)
430,18.02.2018,22:00,13.98,(6.66961292147695+0j)
431,18.02.2018,23:00,15.57,(6.9134439085710415+0j)
432,19.02.2018,00:00,17.8,(7.228889288429316+0j)
433,19.02.2018,01:00,22.76,(7.846132874533943+0j)
434,19.02.2018,02:00,29.39,(8.544069415771077+0j)
435,19.02.2018,03:00,34.35,(8.99995807899315+0j)
436,19.02.2018,04:00,38.45,(9.344663937626283+0j)
437,19.02.2018,05:00,41.7,(9.600862672429294+0j)
438,19.02.2018,06:00,48.5,(10.096685273053819+0j)
439,19.02.2018,07:00,47.3,(10.012717266776267+0j)
440,19.02.2018,08:00,48.4,(10.089741195709909+0j)
441,19.02.2018,09:00,49.5,(10.165606760088592+0j)
442,19.02.2018,10:00,51.9,(10.327313448975659+0j)
443,19.02.2018,11:00,52.6,(10.373536056029486+0j)
444,19.02.2018,12:00,55.85,(10.58293101606555+0j)
445,19.02.2018,13:00,57.75,(10.701604637514357+0j)
446,19.02.2018,14:00,55.0,(10.528967922563854+0j)
447,19.02.2018,15:00,58.7,(10.759967010865934+0j)
448,19.02.2018,16:00,56.9,(10.648840648389685+0j)
449,19.02.2018,17:00,58.16,(10.726870525956427+0j)
450,19.02.2018,18:00,58.94,(10.774611420922788+0j)
451,19.02.2018,19:00,59.2,(10.790431406198712+0j)
452,19.02.2018,20:00,58.95,(10.775220741255533+0j)
453,19.02.2018,21:00,58.75,(10.763021216823565+0j)
454,19.02.2018,22:00,59.05,(10.781310158059613+0j)
455,19.02.2018,23:00,59.05,(10.781310158059613+0j)
456,20.02.2018,00:00,59.0,(10.778266309744806+0j)
457,20.02.2018,01:00,57.2,(10.667522863266566+0j)
458,20.02.2018,02:00,56.8,(10.642598653613403+0j)
459,20.02.2018,03:00,55.65,(10.57028334220965+0j)
460,20.02.2018,04:00,54.95,(10.525776358887706+0j)
