,Tarih,Saat,Toplam (MWh),HATAY WindSpeed(m/s)
379,16.02.2018,19:00,57.58,(9.976883942157489+0j)
380,16.02.2018,20:00,57.81,(9.990150323667406+0j)
381,16.02.2018,21:00,57.24,(9.9572079018752+0j)
382,16.02.2018,22:00,57.47,(9.97052666051006+0j)
383,16.02.2018,23:00,57.59,(9.97746147523792+0j)
384,17.02.2018,00:00,57.85,(9.992453926752145+0j)
385,17.02.2018,01:00,57.69,(9.983233132379363+0j)
386,17.02.2018,02:00,57.57,(9.976306342205863+0j)
387,17.02.2018,03:00,57.14,(9.951406008065442+0j)
388,17.02.2018,04:00,57.02,(9.94443479316885+0j)
389,17.02.2018,05:00,57.67,(9.98207933483862+0j)
390,17.02.2018,06:00,57.24,(9.9572079018752+0j)
391,17.02.2018,07:00,57.78,(9.988421923922933+0j)
392,17.02.2018,08:00,55.52,(9.856457475591535+0j)
393,17.02.2018,09:00,55.04,(9.827970445407725+0j)
394,17.02.2018,10:00,57.84,(9.99187812555652+0j)
395,17.02.2018,11:00,57.72,(9.984963328797434+0j)
396,17.02.2018,12:00,54.92,(9.820822828017048+0j)
397,17.02.2018,13:00,56.97,(9.941527233564152+0j)
398,17.02.2018,14:00,53.48,(9.734227670506403+0j)
399,17.02.2018,15:00,36.79,(8.593055748452043+0j)
400,17.02.2018,16:00,10.71,(5.695093479545174+0j)
401,17.02.2018,17:00,7.93,(5.152232219664269+0j)
402,17.02.2018,18:00,1.89,(3.1944171939689703+0j)
403,17.02.2018,19:00,4.14,(4.14862786878059+0j)
404,17.02.2018,20:00,3.82,(4.038860201407045+0j)
405,17.02.2018,21:00,1.24,(2.7757366630622373+0j)
406,17.02.2018,22:00,1.39,(2.8834292529578502+0j)
407,17.02.2018,23:00,5.93,(4.676517866013232+0j)
408,18.02.2018,00:00,13.73,(6.186730704153389+0j)
409,18.02.2018,01:00,16.85,(6.623756140470133+0j)
410,18.02.2018,02:00,9.13,(5.400010768845579+0j)
411,18.02.2018,03:00,23.94,(7.446389492000575+0j)
412,18.02.2018,04:00,49.53,(9.48841801450909+0j)
413,18.02.2018,05:00,54.21,(9.77831827775245+0j)
414,18.02.2018,06:00,49.44,(9.482667456728077+0j)
415,18.02.2018,07:00,42.49,(9.015710208490797+0j)
416,18.02.2018,08:00,30.69,(8.089158209752226+0j)
417,18.02.2018,09:00,30.62,(8.083003413085859+0j)
418,18.02.2018,10:00,23.31,(7.380488783746441+0j)
419,18.02.2018,11:00,38.51,(8.724935122162552+0j)
420,18.02.2018,12:00,37.03,(8.611700896680844+0j)
421,18.02.2018,13:00,31.17,(8.131112454925194+0j)
422,18.02.2018,14:00,27.86,(7.832457928123466+0j)
423,18.02.2018,15:00,34.27,(8.392198253255565+0j)
424,18.02.2018,16:00,35.47,(8.48903054434812+0j)
425,18.02.2018,17:00,43.48,(9.085194134891946+0j)
426,18.02.2018,18:00,40.59,(8.8792724873432+0j)
427,18.02.2018,19:00,33.19,(8.30309711434358+0j)
428,18.02.2018,20:00,35.62,(8.500980208974385+0j)
429,18.02.2018,21:00,46.55,(9.294176775186193+0j)
430,18.02.2018,22:00,48.95,(9.45123580453347+0j)
431,18.02.2018,23:00,47.28,(9.342508952471011+0j)
432,19.02.2018,00:00,47.27,(9.34185024070457+0j)
433,19.02.2018,01:00,41.05,(8.912689028604518+0j)
434,19.02.2018,02:00,26.81,(7.732797511873155+0j)
435,19.02.2018,03:00,29.98,(8.026291150919114+0j)
436,19.02.2018,04:00,27.04,(7.754847512553654+0j)
437,19.02.2018,05:00,37.96,(8.68319927509914+0j)
438,19.02.2018,06:00,29.34,(7.968765922716794+0j)
439,19.02.2018,07:00,30.85,(8.103191256570554+0j)
440,19.02.2018,08:00,25.14,(7.568784228473022+0j)
441,19.02.2018,09:00,14.87,(6.353426686908996+0j)
442,19.02.2018,10:00,16.57,(6.5868615674217095+0j)
443,19.02.2018,11:00,16.48,(6.574914392040272+0j)
444,19.02.2018,12:00,19.62,(6.968468925657364+0j)
445,19.02.2018,13:00,15.38,(6.425246768693224+0j)
446,19.02.2018,14:00,14.57,(6.310409615034593+0j)
447,19.02.2018,15:00,15.31,(6.415484060497519+0j)
448,19.02.2018,16:00,12.14,(5.938051077701113+0j)
449,19.02.2018,17:00,7.65,(5.090864194070843+0j)
450,19.02.2018,18:00,12.45,(5.988170404993317+0j)
451,19.02.2018,19:00,13.89,(6.210669924812846+0j)
452,19.02.2018,20:00,2.13,(3.3242797790387235+0j)
453,19.02.2018,21:00,5.25,(4.4904596799916385+0j)
454,19.02.2018,22:00,13.6,(6.167142774905282+0j)
455,19.02.2018,23:00,11.33,(5.802934519712688+0j)
456,20.02.2018,00:00,1.56,(2.996488161154503+0j)
457,20.02.2018,01:00,0.0,0j
458,20.02.2018,02:00,0.0,0j
459,20.02.2018,03:00,0.0,0j
460,20.02.2018,04:00,0.11,(1.2379466486370723+0j)
461,20.02.2018,05:00,2.21,(3.365387866676672+0j)
462,20.02.2018,06:00,5.12,(4.4530853630804605+0j)
463,20.02.2018,07:00,7.85,(5.134847921426254+0j)
464,20.02.2018,08:00,14.48,(6.297389475674933+0j)
465,20.02.2018,09:00,19.13,(6.909967796948876+0j)
466,20.02.2018,10:00,21.17,(7.147343467398623+0j)
467,20.02.2018,11:00,23.41,(7.391027836737293+0j)
468,20.02.2018,12:00,23.86,(7.438085733239857+0j)
469,20.02.2018,13:00,18.1,(6.783657171517886+0j)
470,20.02.2018,14:00,21.55,(7.189854883635067+0j)
471,20.02.2018,15:00,18.46,(6.8283367722475745+0j)
472,20.02.2018,16:00,27.81,(7.827769516894187+0j)
473,20.02.2018,17:00,44.63,(9.164596087664304+0j)
474,20.02.2018,18:00,45.11,(9.197334373585043+0j)
475,20.02.2018,19:00,51.9,(9.637405945826275+0j)
476,20.02.2018,20:00,55.82,(9.87417858076457+0j)
477,20.02.2018,21:00,53.45,(9.73240716781377+0j)
478,20.02.2018,22:00,53.74,(9.749976915108036+0j)
